,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Given them an ASBO/on the spot fine,*,-,1%,2%,-,-,-,1%,1%,1%,1%,-,1%,-,-,*,1%,-,-,-,-,1%,1%,-,*,-,-,1%,-,-,-,1%,1%,1%,-,-,1%,-,-,4%,-,1%,-,-
,They need to work with community/youth centres/ communicate with young people,*,-,1%,-,-,-,-,-,1%,-,-,1%,-,-,-,*,-,-,-,-,-,-,2%,-,1%,3%,1%,1%,-,-,-,2%,-,-,3%,-,-,-,-,1%,-,*,*,-
,Made to feel safer/ personal safety,*,-,-,-,1%,-,-,-,1%,1%,-,-,1%,-,-,1%,-,-,-,1%,-,-,-,1%,1%,-,-,-,-,1%,1%,-,-,2%,1%,-,1%,-,-,-,-,-,*,1%
,Less PCSO's/police officer should have been sent,*,-,-,-,-,-,-,1%,-,-,-,1%,-,-,-,*,1%,-,1%,-,-,-,1%,-,1%,-,-,-,-,-,-,1%,1%,-,-,-,1%,-,-,1%,1%,1%,1%,1%
,Attend in plain clothes/ unmarked cars/no sirens,*,-,1%,-,-,-,-,1%,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,1%,-,1%,1%,1%,-,-,1%,-,-,-,2%,-,-,-,-,1%,-,-,1%,1%,-
,Better training,*,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,1%,1%,1%,2%,-,1%,-,-,-,-,1%,-,-,-,-,1%,-,-,-,-,1%,1%,-,*,1%
,Have less paperwork/ bureaucracy/red tape,*,-,-,2%,-,-,1%,-,-,-,1%,-,-,-,-,*,-,1%,1%,-,-,-,1%,1%,-,-,-,1%,-,-,-,-,-,1%,-,1%,-,-,-,-,1%,*,*,1%
,Information given should have been confidential,*,-,2%,-,-,-,-,1%,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,2%,1%,1%,-,1%,1%,-,-,-,1%,1%,-,-,-,-,1%,-,-
,Spoken to witnesses,*,-,-,-,-,-,1%,1%,1%,-,-,-,-,-,-,-,-,1%,-,-,1%,1%,-,-,*,-,-,-,-,-,1%,1%,-,-,-,-,-,1%,-,1%,-,*,-,1%
,Been more proactive,*,1%,1%,1%,-,-,-,1%,1%,-,1%,-,-,-,1%,-,1%,-,-,-,-,-,-,-,-,2%,-,-,1%,-,-,-,1%,-,-,-,1%,-,-,-,-,-,-,1%
,Taken statements,*,1%,-,-,-,-,1%,1%,-,-,-,-,-,-,-,-,1%,1%,-,-,-,1%,-,-,-,-,-,-,-,-,2%,-,1%,-,-,1%,-,-,-,1%,-,*,-,1%
,Evict the person/family,*,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,*,-,-,-,1%,-,-,-,-,1%,-,-,-,-,-,-,-,2%,2%,-,-,-,-,-,-,-,*,*,-
,Police station to be opened 24 hours,*,1%,-,-,-,-,-,-,-,-,2%,-,-,1%,-,-,1%,-,-,-,-,-,-,1%,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-,-,-
,Made to pay for damages,*,-,-,-,-,-,-,1%,-,1%,-,1%,1%,-,-,*,-,1%,-,-,-,-,-,-,*,-,-,-,-,-,-,1%,-,1%,-,-,-,-,-,-,-,*,-,-
,Checked all the evidence/cctv,*,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,1%,-,*,*,-
,Arranged for fencing/ gates/more lighting to be installed,*,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,1%,-,-,-,-,-,-,-
,Other,2%,-,2%,1%,3%,-,-,1%,1%,1%,5%,1%,1%,1%,3%,2%,1%,-,2%,1%,1%,1%,2%,1%,2%,1%,2%,1%,2%,-,3%,2%,3%,2%,4%,1%,3%,1%,1%,1%,3%,2%,2%,4%
,Nothing,29%,30%,25%,39%,38%,43%,32%,34%,27%,37%,34%,37%,33%,25%,26%,27%,33%,31%,24%,20%,37%,32%,24%,27%,24%,30%,34%,29%,31%,28%,35%,23%,23%,20%,33%,37%,26%,37%,28%,20%,26%,25%,29%,21%
,Don't know,11%,7%,7%,16%,15%,14%,8%,14%,11%,8%,9%,14%,10%,10%,8%,10%,7%,8%,10%,11%,9%,5%,11%,13%,11%,10%,10%,11%,7%,12%,17%,11%,13%,13%,14%,8%,16%,6%,9%,12%,12%,11%,10%,7%
,No answer,1%,-,1%,1%,3%,-,1%,-,1%,2%,-,-,2%,1%,-,1%,3%,1%,2%,1%,-,1%,1%,1%,3%,1%,1%,1%,1%,2%,1%,-,1%,1%,1%,2%,3%,-,2%,1%,1%,1%,2%,-

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.37.,Has fear of intimidation or repercussions ever stopped you from reporting anti-social behaviour in the past?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,19%,17%,15%,11%,18%,14%,16%,16%,19%,21%,12%,14%,19%,15%,25%,22%,18%,12%,23%,19%,25%,17%,15%,11%,21%,19%,17%,20%,16%,22%,19%,22%,25%,24%,18%,14%,12%,16%,15%,16%,22%,19%,22%,16%
,No,81%,82%,85%,89%,82%,86%,84%,84%,80%,77%,88%,86%,81%,85%,75%,77%,81%,88%,77%,81%,75%,82%,85%,88%,78%,81%,83%,80%,84%,78%,81%,78%,75%,73%,79%,85%,88%,83%,85%,84%,78%,81%,76%,84%
,Don't know,1%,1%,-,-,-,-,-,1%,1%,2%,-,-,-,-,-,1%,1%,-,-,-,-,1%,-,1%,1%,-,-,-,-,-,-,1%,1%,3%,3%,1%,-,1%,-,-,-,*,1%,-
,NET YES,-62%,-65%,-70%,-78%,-65%,-71%,-68%,-68%,-61%,-56%,-77%,-72%,-63%,-70%,-50%,-55%,-64%,-76%,-54%,-62%,-50%,-66%,-70%,-78%,-57%,-62%,-65%,-60%,-68%,-57%,-62%,-56%,-50%,-50%,-61%,-71%,-76%,-67%,-71%,-68%,-56%,-62%,-54%,-69%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.38.,Have you ever experienced intimidation or repercussions as a result of reporting anti-social behaviour?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,32%,27%,28%,37%,29%,14%,31%,34%,34%,40%,24%,32%,33%,33%,32%,35%,34%,24%,34%,37%,30%,34%,22%,26%,29%,45%,25%,35%,32%,38%,33%,28%,32%,39%,36%,28%,25%,20%,32%,39%,39%,34%,32%,34%
,No - have reported antisocial behaviour but have not experienced intimidation or repercussions,59%,60%,66%,56%,59%,86%,61%,56%,62%,52%,65%,59%,56%,57%,59%,58%,60%,62%,56%,59%,61%,50%,70%,58%,64%,50%,60%,53%,60%,55%,58%,60%,56%,52%,58%,61%,61%,66%,56%,57%,51%,56%,59%,54%
,No - have not reported anti-social behaviour before,8%,13%,7%,6%,11%,-,6%,8%,4%,6%,9%,9%,10%,9%,8%,6%,5%,12%,10%,4%,8%,12%,7%,15%,7%,4%,14%,12%,5%,4%,9%,9%,12%,4%,4%,11%,12%,13%,10%,4%,9%,9%,6%,11%
,Don't know,1%,-,-,1%,1%,-,2%,2%,-,2%,2%,-,1%,1%,1%,1%,-,2%,-,-,1%,4%,2%,1%,1%,1%,1%,-,3%,3%,-,3%,-,5%,2%,-,2%,1%,2%,-,1%,1%,3%,1%
,NO,67%,73%,72%,62%,70%,86%,67%,64%,66%,58%,74%,68%,66%,66%,67%,64%,66%,74%,66%,63%,69%,62%,77%,73%,70%,54%,74%,65%,65%,59%,67%,70%,68%,56%,62%,72%,73%,79%,66%,61%,60%,65%,65%,65%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.39.,"How much of a problem do you think anti-social behaviour is in your area, or do you not think it is a problem at all? Would you say it is a ...?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very big problem,23%,15%,21%,21%,13%,-,24%,16%,23%,14%,15%,29%,27%,23%,17%,24%,35%,16%,20%,25%,22%,19%,16%,16%,36%,27%,13%,27%,21%,22%,31%,18%,25%,25%,26%,16%,16%,16%,23%,27%,17%,24%,23%,19%
,Fairly big problem,40%,46%,40%,35%,44%,71%,46%,37%,39%,47%,45%,40%,38%,47%,41%,45%,42%,41%,35%,42%,49%,48%,40%,46%,36%,42%,39%,44%,34%,45%,26%,34%,36%,41%,30%,34%,36%,36%,34%,34%,36%,43%,45%,27%
,Not a very big problem,31%,30%,35%,40%,34%,14%,26%,35%,33%,30%,30%,24%,25%,28%,33%,27%,20%,38%,38%,22%,24%,29%,34%,35%,22%,25%,35%,24%,42%,24%,39%,40%,28%,27%,33%,45%,43%,41%,35%,31%,36%,30%,28%,39%
,Not a problem at all,5%,8%,3%,4%,6%,14%,4%,6%,4%,7%,7%,5%,6%,2%,7%,4%,3%,4%,5%,10%,4%,4%,7%,3%,3%,5%,11%,6%,3%,9%,4%,6%,11%,7%,3%,4%,5%,7%,7%,7%,8%,2%,3%,13%
,Don't know,2%,1%,1%,-,3%,-,1%,5%,1%,2%,3%,2%,3%,-,2%,1%,-,2%,3%,2%,1%,-,2%,1%,2%,1%,3%,-,1%,1%,1%,3%,-,1%,8%,2%,1%,1%,1%,2%,3%,1%,1%,2%
,PROBLEM,63%,61%,61%,56%,57%,71%,69%,53%,62%,61%,60%,69%,66%,70%,58%,69%,77%,56%,54%,66%,71%,67%,56%,61%,72%,69%,51%,70%,54%,67%,56%,52%,61%,65%,56%,50%,51%,51%,57%,60%,53%,66%,68%,47%
,NOT PROBLEM,36%,38%,38%,44%,40%,29%,30%,42%,37%,37%,38%,29%,31%,30%,40%,31%,23%,42%,43%,32%,28%,33%,41%,38%,25%,30%,46%,30%,45%,32%,43%,46%,39%,34%,36%,49%,48%,48%,42%,38%,44%,32%,31%,51%
,NET PROBLEM,27%,23%,23%,12%,17%,43%,40%,12%,25%,24%,22%,40%,34%,40%,18%,38%,54%,15%,12%,35%,43%,33%,15%,23%,47%,39%,6%,41%,10%,34%,14%,6%,22%,32%,20%,1%,4%,4%,16%,23%,10%,34%,37%,-5%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.40.,"On a scale from 1 to 10, where 1 is no effect and 10 is total effect, how much does anti-social behaviour affect your everyday quality of life?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1 - no effect,16%,24%,12%,13%,14%,-,10%,24%,18%,18%,20%,21%,21%,15%,26%,14%,9%,21%,17%,19%,15%,13%,18%,19%,10%,14%,19%,16%,22%,17%,24%,20%,21%,14%,12%,20%,16%,24%,18%,17%,22%,13%,14%,18%
,2,11%,8%,12%,19%,15%,14%,15%,10%,10%,10%,12%,5%,8%,12%,9%,11%,8%,8%,9%,6%,9%,9%,13%,2%,10%,6%,18%,10%,11%,9%,12%,7%,12%,8%,9%,10%,15%,12%,16%,15%,15%,13%,9%,13%
,3,11%,8%,18%,12%,17%,14%,9%,14%,11%,11%,13%,7%,11%,9%,13%,10%,9%,14%,9%,12%,11%,8%,11%,17%,8%,7%,12%,11%,20%,8%,10%,7%,12%,7%,10%,14%,14%,14%,11%,10%,10%,10%,14%,13%
,4,10%,8%,13%,7%,9%,14%,5%,11%,13%,12%,12%,15%,9%,8%,10%,8%,10%,10%,9%,12%,7%,18%,12%,12%,7%,17%,10%,14%,7%,7%,10%,8%,12%,4%,11%,15%,7%,8%,12%,7%,8%,6%,10%,11%
,5,13%,14%,10%,19%,13%,43%,20%,9%,11%,16%,16%,9%,6%,8%,13%,14%,13%,15%,15%,12%,15%,14%,8%,14%,13%,13%,9%,17%,12%,15%,11%,13%,11%,21%,16%,11%,22%,14%,12%,16%,12%,15%,15%,7%
,6,8%,8%,5%,10%,9%,-,7%,9%,7%,5%,5%,3%,11%,15%,7%,6%,13%,9%,13%,6%,12%,4%,11%,8%,9%,5%,7%,6%,9%,10%,7%,9%,3%,6%,10%,10%,3%,4%,2%,3%,4%,9%,7%,6%
,7,8%,10%,9%,6%,6%,14%,6%,6%,7%,10%,5%,10%,6%,7%,5%,11%,13%,8%,2%,9%,7%,8%,9%,9%,11%,10%,5%,9%,5%,12%,3%,7%,10%,12%,8%,5%,9%,6%,12%,8%,7%,7%,10%,9%
,8,9%,5%,6%,7%,5%,-,14%,8%,9%,7%,10%,11%,11%,8%,12%,8%,7%,5%,10%,12%,12%,14%,9%,9%,11%,13%,11%,7%,4%,8%,12%,12%,6%,12%,11%,7%,6%,8%,10%,6%,11%,11%,10%,10%
,9,4%,4%,3%,2%,4%,-,4%,2%,3%,2%,2%,8%,4%,8%,-,5%,4%,4%,4%,4%,6%,5%,4%,4%,4%,2%,2%,3%,3%,3%,3%,5%,4%,3%,4%,4%,2%,2%,1%,8%,5%,3%,4%,3%
,10 - total effect,9%,11%,10%,5%,9%,-,10%,7%,9%,8%,4%,10%,14%,8%,5%,11%,14%,5%,13%,9%,5%,5%,5%,7%,15%,13%,8%,8%,7%,11%,9%,12%,10%,13%,8%,3%,6%,9%,7%,11%,6%,12%,8%,11%
,Don't know,1%,-,1%,-,1%,-,1%,1%,1%,1%,1%,1%,1%,-,-,1%,-,2%,-,-,1%,4%,1%,1%,2%,-,-,-,1%,2%,-,1%,1%,1%,1%,2%,1%,-,1%,-,1%,2%,-,1%
,MEAN,4.83,4.7,4.66,4.36,4.53,4.43,5.19,4.2,4.68,4.58,4.23,5.1,5.03,5.06,4.11,5.08,5.59,4.34,5.06,4.91,4.95,4.94,4.51,4.73,5.57,5.32,4.29,4.67,4.1,5.07,4.45,5.18,4.51,5.45,5.08,4.18,4.33,4.26,4.38,4.84,4.38,5.13,4.89,4.7
,STD ERR,0.04,0.3,0.28,0.26,0.28,0.61,0.28,0.22,0.23,0.28,0.25,0.31,0.32,0.28,0.27,0.15,0.23,0.27,0.3,0.29,0.28,0.27,0.25,0.27,0.15,0.29,0.29,0.27,0.27,0.29,0.3,0.29,0.3,0.29,0.27,0.26,0.26,0.29,0.28,0.31,0.29,0.15,0.14,0.3
,LARGE EFFECT  (8-10),22%,20%,19%,14%,18%,-,28%,16%,21%,17%,16%,29%,28%,25%,17%,24%,25%,14%,27%,25%,23%,24%,18%,19%,29%,28%,20%,18%,14%,22%,24%,29%,20%,28%,23%,14%,14%,19%,17%,25%,22%,26%,21%,23%
,LITTLE EFFECT  (1-3),38%,40%,43%,44%,45%,29%,34%,48%,39%,39%,45%,33%,39%,36%,48%,35%,26%,43%,35%,37%,35%,29%,42%,38%,29%,27%,50%,37%,52%,33%,46%,34%,44%,29%,30%,44%,45%,50%,45%,42%,47%,36%,37%,44%
,NET EFFECT,-16%,-20%,-24%,-30%,-27%,-29%,-6%,-31%,-18%,-22%,-29%,-4%,-11%,-11%,-31%,-11%,-1%,-29%,-8%,-12%,-12%,-6%,-24%,-18%,*,1%,-29%,-19%,-39%,-12%,-22%,-4%,-25%,-1%,-8%,-30%,-31%,-31%,-27%,-17%,-25%,-10%,-16%,-20%

,Base: All,5699,100,105,100,102,7,101,159,161,100,112,100,102,107,100,388,151,101,101,101,100,102,128,103,406,100,103,101,101,102,101,116,102,101,105,101,101,101,103,101,105,408,407,103
Q.41.,"To what extent does fear of anti-social behaviour affect your daily routine in the local area where you live, for example areas you may avoid or types of transport you take?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,A great deal,15%,19%,14%,15%,11%,14%,8%,9%,14%,10%,11%,17%,17%,12%,16%,18%,21%,12%,16%,14%,15%,17%,13%,12%,23%,18%,12%,14%,7%,21%,13%,15%,19%,17%,19%,9%,6%,11%,6%,16%,11%,13%,15%,12%
,A fair amount,21%,16%,27%,17%,17%,14%,21%,18%,22%,23%,13%,21%,16%,28%,14%,24%,26%,16%,21%,22%,20%,24%,20%,16%,29%,33%,15%,17%,16%,27%,26%,20%,10%,18%,13%,15%,20%,16%,21%,16%,25%,28%,21%,18%
,Not very much,33%,38%,34%,32%,41%,43%,47%,34%,37%,36%,33%,24%,20%,28%,35%,33%,32%,39%,27%,35%,36%,34%,36%,33%,27%,26%,31%,33%,33%,26%,29%,36%,34%,39%,29%,36%,35%,31%,37%,30%,32%,28%,36%,35%
,Not at all,31%,26%,24%,36%,31%,29%,25%,37%,27%,30%,44%,37%,47%,31%,35%,24%,21%,33%,36%,30%,28%,25%,32%,39%,20%,23%,43%,37%,45%,24%,32%,29%,37%,25%,39%,41%,39%,42%,34%,39%,31%,30%,28%,35%
,Don't know,1%,1%,1%,-,-,-,-,1%,-,1%,-,1%,1%,1%,-,1%,-,1%,1%,-,1%,-,-,1%,1%,-,-,-,-,2%,1%,-,-,2%,-,-,1%,1%,2%,-,-,1%,*,-
,GREAT DEAL/ FAIR AMOUNT,36%,35%,41%,32%,27%,29%,29%,28%,36%,33%,23%,38%,32%,40%,30%,42%,48%,28%,37%,36%,35%,40%,32%,27%,52%,51%,26%,31%,23%,48%,39%,34%,28%,35%,32%,24%,26%,27%,27%,32%,36%,41%,36%,30%
,NOT VERY MUCH/ NOT AT ALL,64%,64%,58%,68%,73%,71%,71%,71%,64%,66%,77%,61%,67%,59%,70%,57%,52%,71%,62%,64%,64%,60%,68%,72%,47%,49%,74%,69%,77%,50%,60%,66%,72%,63%,68%,76%,73%,72%,71%,68%,64%,58%,64%,70%
,NET GREAT DEAL/ FAIR AMOUNT,-28%,-29%,-17%,-36%,-45%,-43%,-43%,-43%,-28%,-33%,-54%,-23%,-34%,-19%,-40%,-15%,-5%,-44%,-26%,-29%,-29%,-20%,-36%,-45%,5%,2%,-48%,-39%,-54%,-2%,-22%,-31%,-43%,-29%,-35%,-52%,-48%,-46%,-44%,-37%,-28%,-16%,-28%,-40%

,Base:,2045,35,43,32,28,2,29,44,58,33,26,38,33,43,30,163,72,28,37,36,35,41,41,28,211,51,27,31,23,49,39,40,29,35,34,24,26,27,28,32,38,169,146,31
Q.42.,In what ways would you say your daily routine is affected by fear of anti-social behaviour in the local area where you live?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Avoid certain areas/ streets,48%,31%,53%,44%,46%,100%,52%,39%,57%,39%,50%,53%,27%,44%,60%,48%,49%,39%,59%,56%,46%,51%,56%,57%,50%,37%,56%,52%,48%,47%,51%,33%,48%,43%,56%,58%,54%,41%,61%,47%,47%,43%,47%,42%
,Avoid walking/ staying out late/ going out at night,41%,43%,35%,56%,32%,100%,45%,18%,45%,42%,58%,47%,45%,42%,47%,45%,49%,50%,27%,33%,26%,37%,44%,36%,44%,41%,41%,48%,26%,43%,28%,25%,31%,43%,47%,54%,35%,37%,29%,38%,42%,38%,45%,35%
,Take precautions/ more aware/ vigilant,30%,29%,30%,41%,32%,50%,14%,34%,16%,21%,23%,42%,30%,47%,27%,40%,29%,39%,27%,39%,20%,34%,24%,14%,31%,22%,37%,48%,22%,37%,41%,25%,34%,37%,29%,25%,38%,26%,25%,25%,32%,24%,32%,19%
,Avoid groups/ gangs of youths/ school children,27%,20%,21%,25%,32%,100%,38%,18%,29%,21%,35%,34%,9%,33%,33%,33%,24%,46%,22%,28%,26%,32%,22%,11%,31%,31%,11%,32%,39%,27%,28%,20%,28%,20%,18%,21%,35%,22%,14%,13%,24%,28%,25%,19%
,Noise affects sleep/ health/ work,16%,23%,14%,16%,14%,100%,7%,20%,16%,12%,27%,13%,21%,14%,10%,18%,18%,29%,24%,8%,11%,22%,2%,14%,16%,18%,15%,23%,30%,12%,15%,23%,17%,14%,15%,17%,19%,22%,7%,25%,13%,11%,8%,19%
,Do not use public transport,8%,9%,5%,6%,7%,50%,3%,5%,2%,6%,15%,16%,-,5%,7%,9%,8%,4%,11%,3%,6%,2%,7%,-,14%,16%,4%,6%,17%,4%,10%,13%,7%,9%,3%,4%,4%,11%,14%,13%,11%,12%,6%,6%
,Worry about carrying cash/ valuables/ using cash machines,8%,14%,9%,19%,11%,50%,3%,-,7%,3%,8%,11%,6%,9%,10%,9%,11%,7%,14%,8%,6%,10%,5%,7%,12%,6%,11%,13%,4%,10%,5%,5%,-,6%,9%,8%,8%,15%,7%,9%,8%,6%,4%,6%
,Worry about damage to car/property,3%,6%,-,6%,4%,-,-,2%,7%,-,-,5%,15%,-,7%,4%,7%,-,5%,3%,-,-,7%,4%,*,6%,-,10%,9%,4%,3%,3%,-,3%,3%,4%,-,-,-,6%,-,4%,3%,6%
,Avoid going out alone/ being alone,2%,9%,5%,3%,-,-,-,7%,2%,-,-,-,3%,2%,-,3%,1%,-,8%,3%,-,-,2%,7%,2%,2%,4%,-,-,2%,-,3%,3%,-,-,-,4%,7%,-,3%,-,3%,4%,-
,Worry about family members/children,2%,3%,2%,3%,4%,-,7%,-,-,-,-,3%,-,5%,7%,3%,1%,4%,8%,3%,3%,-,2%,7%,2%,-,-,-,-,6%,5%,3%,-,-,-,-,8%,-,-,3%,-,1%,1%,3%
,Afraid to go out,2%,-,-,-,7%,50%,-,-,-,-,4%,5%,-,2%,-,4%,-,-,3%,8%,3%,5%,7%,4%,1%,-,4%,6%,-,-,-,5%,-,3%,-,4%,-,4%,4%,-,3%,1%,1%,3%
,Cannot let children go out on their own,2%,3%,5%,3%,-,-,7%,2%,-,-,-,5%,3%,5%,-,2%,1%,-,5%,-,6%,2%,-,14%,2%,-,-,6%,-,-,-,5%,-,3%,-,-,4%,-,-,3%,-,1%,2%,-
,Has affected my health/ mentally/physically/ stressed,2%,6%,-,-,-,-,-,2%,-,-,-,-,6%,2%,-,2%,6%,-,3%,3%,-,2%,2%,-,1%,2%,-,-,-,-,-,3%,-,-,6%,8%,-,4%,4%,6%,3%,2%,1%,6%
,Scared/frightened/ worried,2%,9%,-,-,4%,-,-,2%,2%,3%,-,3%,3%,2%,3%,1%,4%,-,-,-,6%,-,-,-,3%,-,4%,-,-,2%,3%,5%,-,-,3%,-,-,7%,-,-,-,1%,2%,6%
,Fear of intimidation/ threats,2%,-,-,3%,-,-,-,7%,3%,-,-,-,6%,-,-,1%,3%,-,-,3%,-,-,-,-,2%,-,-,3%,4%,2%,-,-,3%,-,-,4%,4%,7%,-,3%,3%,2%,2%,-
,Do not go out,1%,3%,-,-,4%,-,-,2%,7%,9%,-,-,3%,2%,-,1%,-,-,3%,-,-,-,2%,-,*,2%,-,-,-,4%,-,-,-,-,-,-,-,-,-,-,3%,2%,1%,3%
,Cannot go into the garden,1%,3%,-,-,-,-,3%,-,-,3%,-,3%,-,-,-,1%,1%,-,-,8%,-,-,-,-,*,-,-,6%,4%,-,3%,3%,3%,-,-,4%,-,-,-,3%,3%,1%,2%,3%
,Daily routine has had to change (not specified ),1%,-,-,-,-,-,-,-,2%,-,-,-,3%,2%,-,2%,-,4%,-,3%,-,2%,-,7%,1%,-,-,3%,-,-,-,-,-,3%,6%,-,-,-,-,-,-,1%,1%,-
,Worry when away from house/on holiday,1%,-,-,-,-,-,-,-,2%,-,4%,-,-,-,-,1%,-,-,-,-,-,2%,-,-,1%,-,4%,3%,-,-,-,3%,-,3%,-,-,-,4%,-,-,-,2%,1%,-
,Avoid neighbours/do not mix/talk to anybody,1%,-,-,-,4%,-,-,-,-,-,-,-,3%,7%,-,-,-,-,3%,-,3%,-,2%,-,*,2%,-,-,-,2%,3%,-,-,-,-,-,-,-,4%,-,3%,1%,1%,-
,Take the car/taxi rather than walking,1%,3%,-,-,-,-,3%,-,-,-,-,3%,-,-,3%,2%,-,-,-,-,-,-,2%,-,*,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-
,Keep doors/windows locked/don't open the door,1%,-,-,-,-,-,-,-,3%,-,4%,3%,-,-,-,1%,1%,-,-,-,-,-,5%,4%,1%,-,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,3%,-,-,-
,Abusive/nuisance neighbours,1%,-,-,-,7%,-,-,2%,-,-,-,3%,-,-,-,-,-,-,-,3%,-,-,2%,-,*,2%,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,5%,-,1%,3%
,Worry about gangs/youth hanging around,1%,-,-,-,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,*,2%,4%,-,4%,-,-,3%,-,-,-,-,-,4%,-,3%,-,1%,1%,-
,Cars obstructing paths/ car parking,1%,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,1%,-,-,-,-,-,-,2%,-,*,-,-,3%,4%,-,3%,-,3%,-,-,-,-,-,4%,-,-,1%,-,-
,Want to move/get away,1%,3%,-,-,-,-,-,-,2%,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,*,-,-,-,-,-,5%,-,3%,-,-,-,-,4%,-,-,3%,1%,1%,-
,Has affected my quality of life,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,3%,3%,-,-,2%,-,1%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-
,Have installed cctv/ alarms/security,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4%,-,-,-,-,-,-,7%,-,-,-,3%,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,2%,-
,Worry about robberies/ theft/muggings,*,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,1%,-,-,6%,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-
,Worry about verbal abuse,*,3%,-,-,-,-,-,2%,-,-,-,-,3%,2%,-,-,1%,-,-,-,3%,-,-,-,*,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Worry about violence/ stabbings/murder,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,3%,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,4%,-,-,-,-,-,1%,-,-
,Worry about drunks/under age drinking,*,-,-,-,-,50%,-,-,-,-,-,-,-,-,-,1%,-,-,-,3%,-,-,-,-,1%,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-
,Littering/dog fouling,*,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,5%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4%,-,-,-,1%,-
,Fear of repercussion,*,-,2%,-,-,-,-,-,-,-,-,-,3%,-,-,1%,-,-,-,-,-,-,-,-,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-
,Worry about drug dealing/drug addicts,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4%,-,-,-,1%,1%,-
